utt_id,text,h,s,b,dimmer,tag
1,가끔 햇살이 비추니 마음이 따뜻하다 그래서 마음이 깊다,31,75,81,67,warm
2,좋은 음악을 들으니 기운이 난다 잊기 힘들다,75,96,95,91,energetic
3,가끔 전화벨 소리에 가슴이 철렁한다,206,61,64,40,anxious
4,겨울 아침 담요 속이 따뜻하다 그래서 마음이 깊다,39,81,70,62,warm
5,가끔 기다리는 동안 손이 떨린다 마음에 오래 남는다,213,60,64,43,anxious
6,오늘 가족과 함께 있으니 포근하다,22,94,71,58,warm
7,요즘 전화벨 소리에 가슴이 철렁한다 마음에 오래 남는다,185,78,59,48,anxious
8,오늘 문제를 풀다 보니 집중이 깊어진다 마음에 오래 남는다,201,84,77,74,focused
9,요즘 오늘 사무실에서 너무 많은 일을 했다 잊기 힘들다,47,40,45,49,tired
10,어제 가족의 배려가 감사하다 그래서 마음이 깊다,104,76,91,82,grateful
11,어제 응원의 말이 큰 힘이 된다 마음에 오래 남는다,93,62,86,85,grateful
12,요즘 따뜻한 국을 먹으니 몸이 풀린다 그래서 마음이 깊다,15,86,89,72,warm
13,요즘 앞일을 생각하니 마음이 조급하다 다시 생각난다,216,64,61,52,anxious
14,요즘 응원의 말이 큰 힘이 된다 그래서 마음이 깊다,89,78,82,93,grateful
15,가끔 마음속이 공허하다,223,56,31,31,lonely
16,요즘 버스가 그냥 지나가 화가 났다 그래서 마음이 깊다,354,100,70,68,angry
17,오늘 아침 공기를 마시며 달리니 상쾌하다 그래서 마음이 깊다,61,100,98,95,energetic
18,어제 오늘따라 연인이 더 사랑스럽다 마음에 오래 남는다,269,99,82,79,romantic
19,오늘 기다리는 동안 손이 떨린다,212,64,52,53,anxious
20,요즘 새벽까지 깨어 있어 머리가 무겁다 그래서 마음이 깊다,185,36,33,31,sleepy
21,가끔 새벽까지 깨어 있어 머리가 무겁다 마음에 오래 남는다,201,27,21,29,sleepy
22,가끔 눈이 따가워 집중하기 어렵다 다시 생각난다,17,59,39,38,uncomfortable
23,긴 하루가 끝나 몸이 나른하다 그래서 마음이 깊다,223,29,25,23,sleepy
24,오늘 점심을 먹고 나니 졸음이 쏟아진다 잊기 힘들다,226,30,33,40,sleepy
25,오늘 오늘 하루가 너무 힘들었다 마음에 오래 남는다,222,71,49,26,sad
26,요즘 도움을 준 친구에게 고마움이 든다,107,79,92,86,grateful
27,요즘 호수 위의 달빛이 고요하다 마음에 오래 남는다,27,60,41,65,calm
28,요즘 일을 마치고 집에 오니 지쳐 쓰러질 것 같다 잊기 힘들다,28,57,43,40,tired
29,가끔 호수 위의 달빛이 고요하다,37,40,57,63,calm
30,오늘 문제를 풀다 보니 집중이 깊어진다,211,82,72,71,focused
31,오늘 사무실에서 너무 많은 일을 했다 마음에 오래 남는다,15,43,51,43,tired
32,어제 문제를 풀다 보니 집중이 깊어진다,193,73,70,71,focused
33,마음속이 공허하다 그래서 마음이 깊다,244,64,34,28,lonely
34,어제 긴 하루가 끝나 몸이 나른하다,228,40,17,39,sleepy
35,어제 예상치 못한 상황에 긴장된다 마음에 오래 남는다,182,60,45,49,anxious
36,촛불 불빛 속 대화가 따뜻하다 그래서 마음이 깊다,292,98,92,70,romantic
37,오늘 새로운 도전을 하니 활력이 돈다 그래서 마음이 깊다,59,100,98,94,energetic
38,가끔 가족과 함께 저녁을 먹으니 행복하다 잊기 힘들다,51,86,91,94,happy
39,가끔 내일 발표가 걱정되어 불안하다 마음에 오래 남는다,189,63,53,48,anxious
40,가끔 조용히 책을 읽으니 평온하다 다시 생각난다,50,44,52,65,calm
41,오늘 햇살이 나뭇잎 사이로 스며든다,62,38,87,87,natural
42,촛불 불빛 속 대화가 따뜻하다,293,96,79,60,romantic
43,오늘 호수 위의 달빛이 고요하다 마음에 오래 남는다,33,66,60,45,calm
44,오늘 회의가 길어져서 짜증이 났다,350,98,74,80,angry
45,요즘 앞일을 생각하니 마음이 조급하다 그래서 마음이 깊다,186,77,46,46,anxious
46,오늘 앞일을 생각하니 마음이 조급하다,184,70,51,60,anxious
47,어제 점심을 먹고 나니 졸음이 쏟아진다 다시 생각난다,230,38,32,27,sleepy
48,요즘 억울한 말을 들어 속이 끓는다 그래서 마음이 깊다,4,98,79,82,angry
