utt_id,text,h,s,b,dimmer,tag
1,조용히 낮 도서관에서 쌀쌀한 기운이 번지는 느낌이다,26,87,88,62,warm
2,문득 주말 거실에서 바람부는 기운이 스며드는 느낌이다,224,48,43,26,sad
3,조용히 아침 거실에서 안개낀 기운이 감싸는 느낌이다,64,100,100,97,energetic
4,살며시 아침 거실에서 안개낀 기운이 감싸는 느낌이다,192,32,18,23,sleepy
5,오후 복도에 안개낀 분위기가 anxious하게 다가온다,197,74,63,45,anxious
6,새벽 도서관에 안개낀 분위기가 grateful하게 다가온다,74,78,95,77,grateful
7,천천히 서재의 포근한 공기가 anxious하게 느껴진다,213,79,54,45,anxious
8,천천히 부엌의 비오는 공기가 grateful하게 느껴진다,79,68,90,81,grateful
9,새벽 방에 쌀쌀한 분위기가 happy하게 다가온다,72,87,92,93,happy
10,조용히 주말 사무실에서 쌀쌀한 기운이 감싸는 느낌이다,53,84,98,89,happy
11,오후 사무실에 비오는 분위기가 grateful하게 다가온다,82,64,87,84,grateful
12,새벽 방에 비오는 분위기가 uncomfortable하게 다가온다,13,44,32,32,uncomfortable
13,문득 평일 방에서 포근한 기운이 번지는 느낌이다,65,100,100,95,energetic
14,가만히 복도의 맑은 공기가 anxious하게 느껴진다,202,71,61,55,anxious
15,천천히 방의 맑은 공기가 sleepy하게 느껴진다,214,44,30,39,sleepy
16,문득 주말 복도에서 비오는 기운이 맴도는 느낌이다,88,97,99,91,energetic
17,어느새 저녁 방에서 쌀쌀한 기운이 맴도는 느낌이다,229,41,19,23,sleepy
18,문득 밤 사무실에서 비오는 기운이 번지는 느낌이다,10,100,88,84,angry
19,살며시 밤 부엌에서 흐린 기운이 흘러가는 느낌이다,225,26,29,37,sleepy
20,살며시 부엌의 쌀쌀한 공기가 energetic하게 느껴진다,70,98,99,97,energetic
21,살며시 사무실의 비오는 공기가 natural하게 느껴진다,67,49,81,75,natural
22,어느새 주말 복도에서 바람부는 기운이 스며드는 느낌이다,88,62,85,93,grateful
23,문득 평일 복도에서 안개낀 기운이 흘러가는 느낌이다,31,51,51,30,tired
24,오후 도서관에 안개낀 분위기가 grateful하게 다가온다,86,68,85,92,grateful
25,문득 부엌의 비오는 공기가 happy하게 느껴진다,40,89,92,88,happy
26,살며시 복도의 포근한 공기가 happy하게 느껴진다,62,100,90,79,happy
27,저녁 사무실에 비오는 분위기가 angry하게 다가온다,0,97,76,72,angry
28,조용히 부엌의 바람부는 공기가 energetic하게 느껴진다,67,99,98,90,energetic
29,조용히 서재의 바람부는 공기가 tired하게 느껴진다,17,50,50,39,tired
30,조용히 아침 부엌에서 맑은 기운이 스며드는 느낌이다,32,44,43,39,tired
31,조용히 아침 거실에서 흐린 기운이 맴도는 느낌이다,78,66,86,92,grateful
32,조용히 사무실의 맑은 공기가 anxious하게 느껴진다,189,63,47,50,anxious
33,새벽 복도에 흐린 분위기가 calm하게 다가온다,46,47,45,55,calm
34,천천히 저녁 서재에서 안개낀 기운이 번지는 느낌이다,89,70,87,91,grateful
35,가만히 주말 방에서 맑은 기운이 감싸는 느낌이다,225,31,18,30,sleepy
36,오후 서재에 안개낀 분위기가 romantic하게 다가온다,279,90,87,70,romantic
37,천천히 오후 거실에서 포근한 기운이 감싸는 느낌이다,205,90,78,70,focused
38,천천히 사무실의 쌀쌀한 공기가 sad하게 느껴진다,219,66,39,35,sad
39,가만히 아침 거실에서 바람부는 기운이 번지는 느낌이다,4,95,80,85,angry
40,살며시 새벽 복도에서 쌀쌀한 기운이 흘러가는 느낌이다,4,96,73,79,angry
41,오후 사무실에 안개낀 분위기가 uncomfortable하게 다가온다,357,44,26,35,uncomfortable
42,어느새 주말 방에서 포근한 기운이 머무는 느낌이다,355,98,75,71,angry
43,가만히 사무실의 바람부는 공기가 energetic하게 느껴진다,69,97,96,91,energetic
44,어느새 평일 베란다에서 안개낀 기운이 번지는 느낌이다,29,49,40,41,tired
45,천천히 아침 거실에서 쌀쌀한 기운이 흘러가는 느낌이다,279,100,84,77,romantic
46,조용히 저녁 도서관에서 흐린 기운이 맴도는 느낌이다,40,43,78,80,natural
47,천천히 밤 서재에서 맑은 기운이 머무는 느낌이다,212,59,28,33,lonely
48,천천히 밤 복도에서 포근한 기운이 머무는 느낌이다,101,76,98,82,grateful
49,조용히 거실의 바람부는 공기가 focused하게 느껴진다,195,86,78,78,focused
50,어느새 부엌의 쌀쌀한 공기가 grateful하게 느껴진다,93,65,93,91,grateful
51,살며시 새벽 사무실에서 쌀쌀한 기운이 머무는 느낌이다,41,58,44,46,calm
52,가만히 베란다의 안개낀 공기가 tired하게 느껴진다,38,55,51,36,tired
53,조용히 아침 부엌에서 안개낀 기운이 번지는 느낌이다,73,74,83,80,grateful
54,저녁 부엌에 맑은 분위기가 lonely하게 다가온다,212,61,39,29,lonely
55,저녁 베란다에 흐린 분위기가 tired하게 다가온다,44,54,37,42,tired
56,어느새 도서관의 비오는 공기가 uncomfortable하게 느껴진다,23,47,37,41,uncomfortable
57,주말 베란다에 비오는 분위기가 calm하게 다가온다,58,69,57,46,calm
58,오후 도서관에 맑은 분위기가 tired하게 다가온다,36,40,40,31,tired
59,천천히 낮 복도에서 맑은 기운이 스며드는 느낌이다,44,93,79,71,warm
60,저녁 부엌에 안개낀 분위기가 lonely하게 다가온다,248,58,41,28,lonely
61,살며시 밤 복도에서 바람부는 기운이 흘러가는 느낌이다,44,88,75,68,warm
62,어느새 저녁 복도에서 바람부는 기운이 번지는 느낌이다,293,98,77,75,romantic
63,천천히 새벽 방에서 흐린 기운이 번지는 느낌이다,194,80,58,59,anxious
64,살며시 낮 방에서 포근한 기운이 스며드는 느낌이다,22,59,50,45,calm
65,문득 아침 방에서 안개낀 기운이 번지는 느낌이다,224,73,44,30,sad
66,저녁 도서관에 맑은 분위기가 tired하게 다가온다,32,50,35,36,tired
67,새벽 사무실에 포근한 분위기가 sleepy하게 다가온다,226,28,27,24,sleepy
68,새벽 도서관에 비오는 분위기가 lonely하게 다가온다,217,58,29,44,lonely
69,조용히 주말 베란다에서 비오는 기운이 번지는 느낌이다,76,65,96,89,grateful
70,조용히 베란다의 흐린 공기가 natural하게 느껴진다,55,35,92,73,natural
71,낮 거실에 흐린 분위기가 focused하게 다가온다,209,78,72,69,focused
72,낮 서재에 흐린 분위기가 grateful하게 다가온다,75,80,97,90,grateful
73,문득 서재의 맑은 공기가 focused하게 느껴진다,207,73,67,61,focused
74,가만히 주말 부엌에서 쌀쌀한 기운이 스며드는 느낌이다,215,42,17,35,sleepy
75,살며시 아침 거실에서 바람부는 기운이 맴도는 느낌이다,210,56,40,37,lonely
76,문득 오후 거실에서 바람부는 기운이 감싸는 느낌이다,193,76,73,65,focused
77,아침 거실에 바람부는 분위기가 tired하게 다가온다,49,57,51,49,tired
78,오후 거실에 포근한 분위기가 angry하게 다가온다,11,100,89,68,angry
79,조용히 베란다의 안개낀 공기가 calm하게 느껴진다,38,45,57,54,calm
80,조용히 밤 사무실에서 맑은 기운이 흘러가는 느낌이다,60,100,100,97,energetic
81,새벽 부엌에 흐린 분위기가 focused하게 다가온다,208,90,80,69,focused
82,문득 낮 부엌에서 포근한 기운이 흘러가는 느낌이다,190,87,67,62,focused
83,가만히 방의 맑은 공기가 calm하게 느껴진다,41,52,44,60,calm
84,가만히 서재의 안개낀 공기가 sleepy하게 느껴진다,203,32,19,25,sleepy
85,조용히 복도의 흐린 공기가 happy하게 느껴진다,51,81,88,95,happy
86,가만히 서재의 맑은 공기가 sad하게 느껴진다,207,51,30,44,sad
87,어느새 도서관의 흐린 공기가 lonely하게 느껴진다,218,66,31,38,lonely
88,조용히 저녁 복도에서 바람부는 기운이 감싸는 느낌이다,10,99,85,71,angry
89,문득 부엌의 비오는 공기가 natural하게 느껴진다,56,35,86,82,natural
90,저녁 베란다에 포근한 분위기가 sad하게 다가온다,208,74,34,39,sad
91,새벽 도서관에 흐린 분위기가 sad하게 다가온다,219,69,30,32,sad
92,밤 방에 흐린 분위기가 grateful하게 다가온다,106,68,85,88,grateful
93,살며시 아침 방에서 바람부는 기운이 맴도는 느낌이다,61,53,85,76,natural
94,문득 복도의 맑은 공기가 sleepy하게 느껴진다,189,45,17,26,sleepy
95,살며시 밤 베란다에서 맑은 기운이 감싸는 느낌이다,46,40,44,51,calm
96,가만히 부엌의 포근한 공기가 sleepy하게 느껴진다,187,34,33,32,sleepy
97,새벽 사무실에 흐린 분위기가 focused하게 다가온다,215,83,80,78,focused
98,오후 사무실에 맑은 분위기가 grateful하게 다가온다,103,65,84,83,grateful
99,평일 부엌에 안개낀 분위기가 happy하게 다가온다,77,93,93,89,happy
100,살며시 밤 도서관에서 안개낀 기운이 스며드는 느낌이다,62,97,99,98,energetic
101,문득 오후 복도에서 비오는 기운이 스며드는 느낌이다,218,76,47,49,anxious
102,살며시 아침 부엌에서 포근한 기운이 맴도는 느낌이다,6,59,35,33,uncomfortable
103,조용히 아침 도서관에서 맑은 기운이 머무는 느낌이다,206,42,23,33,sleepy
104,밤 거실에 안개낀 분위기가 energetic하게 다가온다,64,100,100,98,energetic
105,밤 거실에 쌀쌀한 분위기가 sleepy하게 다가온다,224,43,20,26,sleepy
106,어느새 새벽 방에서 바람부는 기운이 흘러가는 느낌이다,346,100,74,74,angry
107,살며시 부엌의 안개낀 공기가 warm하게 느껴진다,40,93,85,66,warm
108,가만히 밤 서재에서 흐린 기운이 감싸는 느낌이다,34,89,88,61,warm
109,어느새 복도의 쌀쌀한 공기가 focused하게 느껴진다,202,85,80,60,focused
110,조용히 밤 베란다에서 비오는 기운이 흘러가는 느낌이다,213,52,46,35,sad
111,천천히 부엌의 안개낀 공기가 happy하게 느껴진다,52,90,96,83,happy
112,조용히 부엌의 맑은 공기가 lonely하게 느껴진다,213,58,30,44,lonely
113,낮 베란다에 비오는 분위기가 happy하게 다가온다,61,81,95,84,happy
114,낮 사무실에 안개낀 분위기가 energetic하게 다가온다,89,100,100,90,energetic
115,어느새 복도의 비오는 공기가 warm하게 느껴진다,29,91,90,62,warm
116,아침 베란다에 맑은 분위기가 natural하게 다가온다,33,54,79,86,natural
117,문득 주말 사무실에서 흐린 기운이 맴도는 느낌이다,352,41,22,28,uncomfortable
118,저녁 방에 안개낀 분위기가 sad하게 다가온다,213,67,40,52,sad
119,아침 복도에 안개낀 분위기가 focused하게 다가온다,207,73,78,65,focused
120,천천히 거실의 안개낀 공기가 energetic하게 느껴진다,74,98,99,99,energetic
121,어느새 도서관의 안개낀 공기가 calm하게 느껴진다,22,62,48,53,calm
122,밤 도서관에 포근한 분위기가 uncomfortable하게 다가온다,355,48,29,35,uncomfortable
123,오후 거실에 안개낀 분위기가 calm하게 다가온다,20,47,48,45,calm
124,살며시 서재의 맑은 공기가 anxious하게 느껴진다,219,70,49,41,anxious
125,천천히 도서관의 바람부는 공기가 sleepy하게 느껴진다,211,35,27,32,sleepy
126,주말 거실에 맑은 분위기가 tired하게 다가온다,26,45,53,44,tired
127,아침 사무실에 흐린 분위기가 tired하게 다가온다,34,43,42,47,tired
128,살며시 사무실의 바람부는 공기가 calm하게 느껴진다,63,70,52,62,calm
129,살며시 부엌의 바람부는 공기가 lonely하게 느껴진다,229,56,45,26,lonely
130,살며시 베란다의 바람부는 공기가 calm하게 느껴진다,39,42,48,46,calm
